Scenario_ID,Scenario_Type,Date,Event_date,Date_type,Event_Type,Process_Area,Loss_Amount_(kUSD),Frequency_(Nk),Severity_(Xi),OpVar_(%),ML,GDP_(%),VIX,Target,Loss_Outlier_Flag,Data_Quality_Flag
ALE-0587,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,303.1,5,2.12,3.45,2.76,2.5,17,2,Normal,Good
OLE-0369,OLE,27-10-2023,27-10-2023,Actual,Data Breach,Retail Banking,17.14,5,0.84,1,1,2.9,19,1,Normal,Good
ALE-0529,ALE,Synth-2022,Null,Synthetic,Phishing,E-Banking,125.87,2,2.13,2.48,1.97,2.7,28,1,Normal,Good
OLE-0169,OLE,27-03-2022,27-03-2022,Actual,Cyber-Fraud,Payments,5,4,1,1.5,1,2.7,15,2,Normal,Good
ALE-0968,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,161.55,1,2.44,2.64,2.42,3.9,29,0,Normal,Good
ALE-1288,ALE,Synth-2022,Null,Synthetic,Tech Failure,E-Banking,205.75,4,1.17,3.16,3.09,3.4,25,1,Normal,Good
ALE-0822,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,177.67,3,2.74,2.05,2.4,3.9,29,0,Normal,Good
ALE-0813,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,183.34,5,1.51,2.31,1.9,2.9,16,2,Normal,Good
ALE-0406,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,90.49,1,2.22,1.97,2.39,2.9,25,1,Normal,Good
ALE-0792,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,120.55,2,1.34,2.12,1.63,3.8,27,2,Normal,Good
OLE-0591,OLE,03-01-2023,03-01-2023,Actual,Data Breach,ATM Network,45.23,5,0.7,1.2,1,3.6,16,1,Normal,Good
ALE-0546,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,182.33,3,1.79,2.45,2.82,3.9,17,1,Normal,Good
OLE-0536,OLE,23-12-2022,23-12-2022,Actual,Cyber-Fraud,Retail Banking,50.05,5,0.77,1.04,1,2.7,16,1,Normal,Good
ALE-0480,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,89.19,2,1.53,2.12,1.93,3.4,22,0,Normal,Good
OLE-0495,OLE,07-10-2023,07-10-2023,Actual,Tech Failure,ATM Network,90.11,1,0.65,0.77,1,3,22,0,Normal,Good
OLE-0112,OLE,01-03-2022,01-03-2022,Actual,System Failure,E-Banking,81.98,4,1.34,0.74,1,3.2,23,1,Normal,Good
OLE-0304,OLE,22-04-2022,22-04-2022,Actual,Cyber-Fraud,Retail Banking,93.71,3,1.3,1.34,1,3.1,15,0,Normal,Good
OLE-0097,OLE,26-04-2022,26-04-2022,Actual,Tech Failure,Retail Banking,37.66,5,1.31,0.69,1,3.7,23,0,Normal,Good
ALE-0168,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,225.99,1,1.33,1.59,1.36,2.9,19,0,Normal,Good
ALE-0086,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,216.44,3,1.8,2.33,2.82,2.8,22,1,Normal,Good
OLE-0841,OLE,09-02-2023,09-02-2023,Actual,Data Breach,E-Banking,90.9,1,0.81,0.83,1,3,18,1,Normal,Good
OLE-0276,OLE,18-11-2023,18-11-2023,Actual,System Failure,ATM Network,5,3,0.95,0.77,1,3.1,19,0,Normal,Good
ALE-0271,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,199.04,5,1.29,1.43,0.99,3.3,25,2,Normal,Good
OLE-0212,OLE,08-09-2022,08-09-2022,Actual,Data Breach,Payments,73.67,2,1.02,0.97,1,2.6,23,1,Normal,Good
OLE-0300,OLE,27-12-2022,27-12-2022,Actual,System Failure,Payments,49.69,4,0.52,1.24,1,3.8,17,0,Normal,Good
ALE-0959,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,155.99,4,1.7,1.91,1.89,3,22,2,Normal,Good
ALE-0177,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,119.85,3,0.95,3.49,3.48,2.7,21,0,Normal,Good
OLE-0809,OLE,01-03-2023,01-03-2023,Actual,Tech Failure,ATM Network,107,4,0.55,1.02,1,3.2,23,2,Normal,Good
OLE-0234,OLE,04-07-2023,04-07-2023,Actual,Cyber-Fraud,ATM Network,34.19,2,1.37,0.92,1,3.7,23,2,Normal,Good
ALE-0709,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,153.52,5,1.26,1.49,1.6,2.5,25,2,Normal,Good
ALE-0064,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,100.73,5,1.9,2.99,2.15,3.4,16,2,Normal,Good
OLE-0451,OLE,09-11-2022,09-11-2022,Actual,Data Breach,Retail Banking,97.5,4,0.78,0.96,1,3.1,20,1,Normal,Good
OLE-0441,OLE,01-11-2023,01-11-2023,Actual,Tech Failure,ATM Network,5,3,0.63,1.27,1,3.5,20,2,Normal,Good
OLE-0068,OLE,25-06-2022,25-06-2022,Actual,Cyber-Fraud,Retail Banking,101.66,3,0.39,0.51,1,3.9,18,1,Normal,Good
ALE-1169,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,198.79,3,2.62,2.85,3.46,3.1,19,0,Normal,Good
ALE-0119,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,172.65,5,2.69,1.89,1.31,2.8,24,2,Normal,Good
OLE-0351,OLE,22-10-2023,22-10-2023,Actual,Data Breach,E-Banking,65.59,5,0.51,1.17,1,2.8,18,1,Normal,Good
ALE-0603,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,138.54,4,2.36,2.55,2.49,3.3,25,1,Normal,Good
ALE-0793,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,10,5,2.7,1.57,1.38,2.8,16,2,Normal,Good
OLE-0317,OLE,09-01-2022,09-01-2022,Actual,System Failure,Retail Banking,35.93,5,0.38,0.59,1,4,24,0,Normal,Good
ALE-0567,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,140.93,1,2.63,1.24,1.25,2.5,27,1,Normal,Good
ALE-0322,ALE,Synth-2022,Null,Synthetic,Data Breach,Payments,109.23,4,1.28,3.06,2.3,3,25,0,Normal,Good
ALE-0972,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,94.44,3,0.99,1.47,1.13,2.6,28,0,Normal,Good
OLE-0483,OLE,09-12-2023,09-12-2023,Actual,Data Breach,ATM Network,82.23,3,0.8,0.86,1,3.4,20,2,Normal,Good
OLE-0030,OLE,10-09-2023,10-09-2023,Actual,Data Breach,ATM Network,63.21,2,0.43,0.5,1,3.5,18,1,Normal,Good
ALE-1157,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,142.51,3,2.98,2.3,2.4,3.1,23,0,Normal,Good
ALE-1014,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,133.17,2,1.86,3.1,2.26,3.9,18,1,Normal,Good
ALE-0714,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,94.28,2,2.7,1.99,1.92,3.8,24,2,Normal,Good
ALE-0690,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,176.02,5,2.31,1.93,2.09,2.7,27,1,Normal,Good
ALE-1223,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Payments,131.02,3,2.82,2.68,3.26,4,16,1,Normal,Good
OLE-0788,OLE,29-10-2023,29-10-2023,Actual,Data Breach,ATM Network,54.41,2,0.88,1.2,1,3.8,24,2,Normal,Good
ALE-0488,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,97.53,3,2.64,3.28,2.39,3.2,27,1,Normal,Good
ALE-1280,ALE,Synth-2022,Null,Synthetic,Phishing,Online Services,107.65,3,1.07,2.08,1.5,3,27,0,Normal,Good
ALE-1282,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,172,2,1.3,3.44,2.3,2.6,27,1,Normal,Good
ALE-1268,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,212.15,4,2.05,1.47,1.23,2.8,19,2,Normal,Good
OLE-0695,OLE,23-03-2022,23-03-2022,Actual,Cyber-Fraud,E-Banking,93.26,3,0.31,0.52,1,3.4,16,1,Normal,Good
ALE-0072,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,198.45,5,2.69,1.21,1.47,3.9,24,0,Normal,Good
OLE-0189,OLE,14-09-2023,14-09-2023,Actual,Data Breach,Retail Banking,67.94,2,1,1.12,1,2.6,15,1,Normal,Good
OLE-0135,OLE,22-05-2022,22-05-2022,Actual,System Failure,E-Banking,46.4,1,0.31,0.97,1,3,24,0,Normal,Good
OLE-0129,OLE,01-10-2023,01-10-2023,Actual,Cyber-Fraud,Payments,93.74,4,1.35,1.27,1,3.7,15,2,Normal,Good
OLE-0756,OLE,25-07-2022,25-07-2022,Actual,Data Breach,Retail Banking,5,3,0.53,0.96,1,3.9,19,1,Normal,Good
ALE-1132,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,169.47,5,2.77,1.33,1.09,3.4,20,2,Normal,Good
OLE-0325,OLE,27-01-2022,27-01-2022,Actual,Data Breach,E-Banking,71.06,3,1.44,1.33,1,3,19,1,Normal,Good
OLE-0544,OLE,25-10-2022,25-10-2022,Actual,Data Breach,Payments,28.71,3,1.26,0.68,1,2.7,20,0,Normal,Good
ALE-0153,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,170.44,2,2.65,2.23,1.79,2.8,20,2,Normal,Good
ALE-0441,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Payments,81.49,1,1.03,2.61,3.01,3.6,25,1,Normal,Good
OLE-0185,OLE,21-05-2022,21-05-2022,Actual,Tech Failure,Payments,50.91,2,0.39,1,1,3.7,19,1,Normal,Good
OLE-0052,OLE,07-12-2022,07-12-2022,Actual,Data Breach,E-Banking,74.53,5,0.33,0.64,1,3.9,17,1,Normal,Good
OLE-0197,OLE,22-05-2022,22-05-2022,Actual,Cyber-Fraud,E-Banking,65.67,5,0.52,0.78,1,2.7,17,2,Normal,Good
ALE-1145,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,107.48,2,1.01,1.75,1.61,3.8,28,0,Normal,Good
ALE-0753,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,122.73,2,1.8,1.67,1.26,3.2,18,0,Normal,Good
ALE-1037,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,299.53,2,1.64,2.97,2.29,2.6,26,0,Normal,Good
ALE-0944,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,130.06,4,1.79,3.18,3.57,3,16,1,Normal,Good
OLE-0240,OLE,29-10-2023,29-10-2023,Actual,Cyber-Fraud,ATM Network,35.38,5,0.66,0.73,1,2.5,17,1,Normal,Good
OLE-0388,OLE,03-05-2023,03-05-2023,Actual,System Failure,Retail Banking,34.58,1,1.16,0.57,1,3.1,20,2,Normal,Good
ALE-1002,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,232.16,2,2.3,3.26,3.16,3.9,23,1,Normal,Good
ALE-0630,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,247.59,4,1.66,2.48,2.06,2.7,17,1,Normal,Good
ALE-0414,ALE,Synth-2022,Null,Synthetic,Phishing,Online Services,187.5,3,1,2.22,1.48,3.8,29,0,Normal,Good
OLE-0255,OLE,10-01-2023,10-01-2023,Actual,Cyber-Fraud,Payments,5,3,0.53,0.91,1,3.9,18,0,Normal,Good
ALE-0661,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,76.56,2,1.64,2.57,3.03,2.9,16,2,Normal,Good
ALE-0144,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,139.54,1,1.26,1.53,1.07,4,26,1,Normal,Good
ALE-0830,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,153.78,3,0.83,1.49,1.45,3.3,28,2,Normal,Good
ALE-0673,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,194.06,1,2.72,1.72,1.52,2.7,18,0,Normal,Good
ALE-0771,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,174.12,5,0.98,2.13,2.01,2.9,25,0,Normal,Good
OLE-0638,OLE,26-09-2023,26-09-2023,Actual,Cyber-Fraud,Payments,82.48,4,1.32,0.55,1,2.7,21,1,Normal,Good
ALE-0462,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,347.75,3,2.61,1.3,1.15,3.1,24,1,Potential Outlier,Review Required
OLE-0799,OLE,16-06-2023,16-06-2023,Actual,Cyber-Fraud,ATM Network,49.97,3,0.85,1.11,1,2.8,14,0,Normal,Good
ALE-0918,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,205.38,4,2.47,1.41,1.22,2.6,19,1,Normal,Good
OLE-0528,OLE,29-03-2022,29-03-2022,Actual,Cyber-Fraud,Payments,80.17,5,0.94,1.36,1,3,23,2,Normal,Good
ALE-0924,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,270.35,1,1.24,2.91,2.05,3.4,28,1,Normal,Good
ALE-0165,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,194.25,2,1.22,2.21,1.83,3.7,24,1,Normal,Good
ALE-0537,ALE,Synth-2022,Null,Synthetic,Data Breach,Online Services,83.85,3,2.11,2.68,2.01,2.7,20,0,Normal,Good
OLE-0481,OLE,22-03-2023,22-03-2023,Actual,System Failure,E-Banking,65.08,4,1.11,0.9,1,2.7,20,2,Normal,Good
ALE-0117,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,290.91,1,2.74,3.25,3.47,3.4,22,0,Normal,Good
ALE-0107,ALE,Synth-2022,Null,Synthetic,Data Breach,Online Services,163.51,3,1.17,2.63,2.02,3.4,26,0,Normal,Good
OLE-0465,OLE,20-03-2022,20-03-2022,Actual,Cyber-Fraud,E-Banking,83.09,5,1.28,1.32,1,3.7,18,2,Normal,Good
ALE-1274,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,97.68,2,2.53,2.8,2.67,3.8,23,1,Normal,Good
ALE-0364,ALE,Synth-2022,Null,Synthetic,Phishing,E-Banking,251.19,2,2.63,1.37,1.07,3.3,28,2,Normal,Good
ALE-0797,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,252.08,2,1.06,1.78,1.98,3.1,26,2,Normal,Good
ALE-1053,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,167.3,2,1.58,2.41,1.98,3.4,22,2,Normal,Good
ALE-0095,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,82.66,3,1.19,2.53,1.77,3,23,2,Normal,Good
ALE-0604,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,182.52,5,0.82,2.25,2.52,3.5,15,1,Normal,Good
ALE-0004,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,85.43,5,2.59,3.19,2.51,2.6,15,0,Normal,Good
OLE-0583,OLE,03-08-2023,03-08-2023,Actual,Data Breach,Retail Banking,56.76,5,1.02,0.58,1,3.5,23,1,Normal,Good
OLE-0121,OLE,04-06-2022,04-06-2022,Actual,Data Breach,Retail Banking,103.79,2,0.55,0.88,1,4,22,1,Normal,Good
ALE-1091,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,95.16,4,1.86,2.32,1.63,2.9,15,0,Normal,Good
OLE-0603,OLE,11-03-2023,11-03-2023,Actual,Tech Failure,Payments,40.59,5,0.37,1.32,1,3,18,2,Normal,Good
OLE-0487,OLE,06-02-2022,06-02-2022,Actual,Cyber-Fraud,ATM Network,67.68,4,1.02,1.01,1,2.9,15,0,Normal,Good
OLE-0057,OLE,08-06-2022,08-06-2022,Actual,System Failure,ATM Network,32.22,4,0.93,0.93,1,2.7,17,2,Normal,Good
OLE-0252,OLE,23-07-2023,23-07-2023,Actual,Tech Failure,E-Banking,63.64,3,0.82,0.81,1,3.2,21,0,Normal,Good
ALE-0598,ALE,Synth-2022,Null,Synthetic,Data Breach,Payments,202.81,1,2.77,3.27,3.17,3.9,15,0,Normal,Good
OLE-0614,OLE,13-09-2022,13-09-2022,Actual,System Failure,Retail Banking,5,1,0.83,1.01,1,2.9,17,0,Normal,Good
OLE-0606,OLE,28-04-2023,28-04-2023,Actual,Cyber-Fraud,Retail Banking,28.37,2,1.28,0.51,1,3.2,22,0,Normal,Good
OLE-0515,OLE,16-06-2023,16-06-2023,Actual,System Failure,Retail Banking,5,2,0.36,1.46,1,3.5,17,2,Normal,Good
ALE-0230,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,174.89,4,1.66,2.09,2.09,2.9,17,1,Normal,Good
ALE-1140,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,158.07,5,1.42,2.4,2.41,2.8,21,2,Normal,Good
ALE-0780,ALE,Synth-2022,Null,Synthetic,Data Breach,Payments,211.02,3,2.59,1.45,1.64,3.4,23,2,Normal,Good
OLE-0333,OLE,08-08-2022,08-08-2022,Actual,Tech Failure,E-Banking,63.25,3,1.18,0.79,1,3.7,16,2,Normal,Good
ALE-0052,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,291.72,5,1.26,2.36,2,2.9,29,0,Normal,Good
OLE-0299,OLE,29-10-2023,29-10-2023,Actual,Data Breach,Retail Banking,40.22,1,1.26,1.4,1,2.8,21,1,Normal,Good
ALE-0351,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,102.5,4,1.87,3.07,2.09,3.9,18,0,Normal,Good
ALE-0029,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,157.09,3,1.7,2.31,2.72,2.9,28,1,Normal,Good
ALE-0611,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,184.53,3,1.76,3.14,2.58,3.6,24,0,Normal,Good
ALE-0895,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,240.61,4,0.92,1.61,1.36,3.2,21,0,Normal,Good
ALE-0275,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,10,2,2.81,3,2.26,3.4,25,1,Normal,Good
ALE-0974,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,240.85,2,2.92,3.34,2.5,3.3,26,2,Normal,Good
